,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,255.26862,1.0912,63.93,4,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1
0,241.2851,2.2702,52.49,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0
0,381.3721696,4.258,81.75,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,2,0,0
0,314.35566,4.0869,69.92,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
0,314.35896,3.6579,87.74,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0
0,358.8419,3.8992,64.52,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0
0,308.3743,3.6276,46.94,4,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,2,0,0
0,557.82738,5.54950000000001,62.16,6,0,6,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,5,4,0
0,602.89118,3.2171,65.4,8,0,6,0,0,2,0,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0
0,1035.22232,4.70700000000002,169.68,18,0,29,0,0,2,12,0,0,0,0,2,4,0,0,0,0,0,0,0,4,12,0,2,0,0,0,0,8,6,4,1
0,529.77422,4.4233,62.16,6,1,6,0,0,1,1,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,4,4,0
0,1029.2608,7.01760000000002,151.22,16,0,31,0,0,2,10,0,0,0,0,2,4,0,0,0,0,0,0,0,4,10,0,2,0,0,0,0,10,6,4,1
0,929.14498,6.59750000000001,132.76,14,0,26,0,0,2,8,0,0,0,0,2,4,0,0,0,0,0,0,0,4,8,0,2,0,0,0,0,9,6,4,1
0,260.32996,0.3345,96.97,6,3,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,213.66078,1.0597,66.48,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,275.38744,5.35100000000001,3.24,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0
